# Resolved addresses found in D:\College\Semester-5\FCS_FoundationstoComputerSecurity\Foundations-to-Computer-Security-Assignments\Assignment-3\HW3_Resources\Part 5\log.pcap

# Comments
#
# No entries.

# Hosts
#
# 662 entries.

74.200.247.59	vip-lb.wordpress.com
170.149.168.135	www-apps.nytimes.com
192.55.83.30	m.gtld-servers.net
74.125.225.138	googlehosted.l.googleusercontent.com
204.160.105.51	us-ga-1.ns.nsatc.net
216.115.110.119	any-ycpi-uno.aycpi.b.yahoodns.net
141.101.124.178	cf-ssl11003-protected-platform.stumbleupon.com.cdn.cloudflare.n
63.236.253.100	n1x.akamai.net
54.240.160.183	d31qbv1cthcecs.cloudfront.net
74.125.225.150	googlemail.l.google.com
173.249.33.30	r1.3crowd.com
66.104.218.39	gannettreprints.com
66.231.91.84	usatoday.hosting.exacttarget.com
107.20.168.83	adchoices-icon-cde-1968696106.us-east-1.elb.amazonaws.com
170.149.168.153	blog.nytimes.com
192.122.184.83	a1294.w20.akamai.net
77.67.86.204	n5g.akamaiedge.net
74.125.225.156	dart.l.doubleclick.net
23.63.194.217	e673.g.akamaiedge.net
68.142.254.15	yf1.yahoo.com
91.198.165.69	forums.bit-tech.net
173.192.115.20	tags3.dal.bluekai.com
192.122.184.89	a1347.g.akamai.net
77.67.86.210	n1c.akamaiedge.net
64.94.107.22	ac-na.quantserve.com.akadns.net
74.125.225.37	www-google-analytics.l.google.com
74.124.24.30	www.peakbagger.com
72.233.2.58	lb.wordpress.com
23.23.157.33	production-analytics-collector-592917094.us-east-1.elb.amazonaw
74.125.225.43	blogspot.l.google.com
66.135.207.138	sjc-dns2.ebaydns.com
64.215.255.80	widgets-lf.clearspring-lf.com.akadns.net
50.116.84.76	run2top.com
66.150.117.25	statse.webtrends.akadns.net
61.213.146.5	n4e11.akamaiedge.net
204.246.161.7	ns-944.amazonaws.com
74.125.225.49	www2.l.google.com
23.63.194.110	e566.dspe1.akamaiedge.net
192.41.90.143	umichlib.qualtrics.com
66.235.138.59	condenast.112.2o7.net
107.20.147.71	config-elb-2140021749.us-east-1.elb.amazonaws.com
64.94.96.1	ns1.internapcdn.net
125.141.136.103	n3w20.akamai.net
173.245.59.113	fred.ns.cloudflare.com
74.125.142.191	blogger.l.google.com
66.171.230.12	n5w20.akamai.net
64.94.136.13	dns3.nettica.com
66.135.223.137	smf-dns1.ebaydns.com
184.73.200.117	ping.chartbeat.net
208.80.152.211	upload-lb.pmtpa.wikimedia.org
205.234.175.2	ns1.adns.cachefly.net
193.108.88.193	n1e.akamai.net
74.125.142.84	accounts.l.google.com
199.93.44.45	a.ns.nsatc.net
74.125.225.210	www.google.com
66.114.53.32	puma.vizu.com.cdngc.net
204.93.213.73	ssl.shopify.com
204.246.160.7	ns-942.amazon.com
204.13.251.24	ns4.p24.dynect.net
66.84.25.202	www.behindthename.com
50.16.242.182	pinterest.com
31.13.77.58	scontent-02.xx.fbcdn.net
23.63.207.144	e3826.g.akamaiedge.net
204.13.251.30	NS4.P30.DYNECT.net
170.149.173.161	www.nytco.com
50.31.151.33	arstechnica.com
87.238.84.215	ns-934.amazonaws.com
54.240.160.136	d1z2jf7jlzjs58.cloudfront.net
130.150.102.100	ns1.csu.net
208.80.126.13	ns7.dnsmadeeasy.com
163.150.1.18	www.mtbaldy.k12.ca.us
195.59.43.134	n2dsw4.akamai.net
66.235.133.52	condenast.112.2o7.net
208.93.136.12	dns12.cotcdn.net
98.129.229.50	www.sesameworkshop.org
157.166.255.15	dmtns07.turner.com
62.41.85.137	n0w20.akamai.net
107.20.138.45	lb-up-tracker-1378845633.us-east-1.elb.amazonaws.com
204.11.109.64	a.tribalfusion.com
205.234.175.175	arstechnicarp.cachefly.net
74.200.244.59	lb.wordpress.com
23.63.173.15	e3191.c.akamaiedge.net
209.247.230.173	adxpose.tmrg.akadns.net
204.74.109.1	pdns2.ultradns.net
207.218.247.135	ns1.theplanet.com
2.22.230.129	ns2-129.akadns.net
204.13.250.24	ns2.p24.dynect.net
69.36.161.11	ns1.west-datacenter.net
23.21.183.70	receive.inplay.tubemogul.com
170.149.168.130	global.nytimes.com
74.125.225.133	youtube.com
204.13.250.30	NS2.P30.DYNECT.net
208.80.154.224	wikimedia-lb.eqiad.wikimedia.org
8.254.4.124	www.aljazeera.net.c.itmdb.net
205.128.74.51	a.ns.itmdb.net
159.54.238.69	sync.usatoday.com.akadns.net
74.125.225.139	googlehosted.l.googleusercontent.com
54.240.160.47	d31qbv1cthcecs.cloudfront.net
66.235.138.18	condenast.112.2o7.net
159.54.238.75	books.usatoday.com.akadns.net
23.63.208.103	e5529.g.akamaiedge.net
192.122.184.72	a1505.g.akamai.net
146.82.98.36	n5g.akamai.net
8.26.214.126	ajodstreaming.fms.c.footprint.net
204.232.210.127	api.parsely.com
54.240.188.234	d1zgderxoe1a.cloudfront.net
23.15.7.8	a1725.dspl.akamai.net
174.143.139.157	pixel.parsely.com
12.129.199.110	amch.questionmarket.com
208.80.154.236	m.wikimedia.org
159.54.236.3	service.usatoday.com
206.165.250.243	cf.clearspring-lf.com.akadns.net
54.240.160.59	d1z2jf7jlzjs58.cloudfront.net
